epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.451,0.56665,0.32143,0.92832,0.9835,0.97578,0.98243,0.89785,0.46421,0.2446,0.8504,0.000272525,0.000272525,0.000272525
2,91.1951,0.60927,0.34299,0.94537,0.98134,0.97781,0.98314,0.87304,0.52038,0.26235,0.86804,0.000522957,0.000522957,0.000522957
3,135.24,0.62099,0.35024,0.95001,0.98285,0.96975,0.98287,0.87174,0.53265,0.28225,0.87202,0.0007459,0.0007459,0.0007459
4,179.564,0.63621,0.36318,0.95859,0.98085,0.96595,0.97972,0.86149,0.55463,0.29184,0.88056,0.000709299,0.000709299,0.000709299
5,223.514,0.65045,0.36758,0.96592,0.98187,0.96878,0.98026,0.87013,0.52201,0.28535,0.87885,0.000668066,0.000668066,0.000668066
6,267.353,0.63885,0.36183,0.96304,0.97736,0.97046,0.97964,0.86125,0.57698,0.28543,0.8782,0.000626832,0.000626832,0.000626832
7,311.664,0.6283,0.35496,0.95923,0.98451,0.97238,0.98119,0.88198,0.50917,0.27136,0.872,0.000585599,0.000585599,0.000585599
8,355.479,0.63799,0.35794,0.96145,0.97908,0.97384,0.98154,0.871,0.53538,0.27455,0.8742,0.000544365,0.000544365,0.000544365
9,399.549,0.61096,0.34655,0.94945,0.9833,0.96998,0.98086,0.88879,0.50183,0.27149,0.86349,0.000503132,0.000503132,0.000503132
10,444.166,0.61899,0.35141,0.95422,0.98308,0.97393,0.98152,0.88302,0.50486,0.26436,0.8585,0.000461898,0.000461898,0.000461898
11,486.412,0.54327,0.27578,0.89774,0.98599,0.96713,0.98145,0.85558,0.58541,0.28154,0.87727,0.000420665,0.000420665,0.000420665
12,529.007,0.52887,0.26861,0.89441,0.98259,0.96989,0.98215,0.88101,0.51904,0.27254,0.86607,0.000379431,0.000379431,0.000379431
13,571.198,0.51185,0.26081,0.88479,0.9855,0.97078,0.98227,0.87993,0.52177,0.26409,0.85457,0.000338198,0.000338198,0.000338198
14,613.799,0.4899,0.25295,0.8746,0.98751,0.97117,0.98331,0.89202,0.4858,0.26021,0.85644,0.000296964,0.000296964,0.000296964
15,655.882,0.47807,0.24622,0.87334,0.98377,0.97276,0.98252,0.89867,0.46465,0.25048,0.8524,0.000255731,0.000255731,0.000255731
16,698.032,0.46474,0.23947,0.8645,0.98692,0.97034,0.98323,0.90016,0.46679,0.24756,0.84984,0.000214497,0.000214497,0.000214497
17,739.557,0.44763,0.2326,0.85616,0.98873,0.97043,0.9831,0.9026,0.45723,0.24029,0.84763,0.000173264,0.000173264,0.000173264
18,781.986,0.4417,0.22795,0.85807,0.99022,0.9684,0.98326,0.90221,0.4639,0.23764,0.84734,0.000132031,0.000132031,0.000132031
19,823.474,0.42782,0.2234,0.85093,0.98232,0.97534,0.98351,0.90826,0.45338,0.23474,0.84722,9.0797e-05,9.0797e-05,9.0797e-05
20,865.63,0.42125,0.21997,0.85183,0.98327,0.97549,0.98377,0.91139,0.43935,0.22992,0.84384,4.95635e-05,4.95635e-05,4.95635e-05
